"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
00000,Total,"9,580,270","4,940,030","2,950,010","1,479,490","2,240,650"
00000,"< $25,000",3350620,2314770,422340,562630,653290
00000,"$25,000 - $49,999",2159110,1191460,437030,481010,428550
00000,"$50,000 - $74,999",1326500,676010,387690,224500,341070
00000,"$75,000 -  $99,999",848060,330830,385280,104460,253910
00000,"$100,000 - $199,999",1312640,329030,861720,93390,397290
00000,"$200,000+",583340,97930,455950,13500,166540
,,,,,,
10001,total,"15,340","11,080","2,700","1,170","2,640"
10001,"< $25,000",3640,2810,330,410,850
10001,"$25,000 - $49,999",2540,1900,240,340,400
10001,"$50,000 - $74,999",2020,1600,190,170,350
10001,"$75,000 -  $99,999",1480,1180,180,80,290
10001,"$100,000 - $199,999",2920,2160,580,90,460
10001,"$200,000+",2740,1430,1180,80,290
,,,,,,
10002,total,"42,290","25,770","10,170","5,480","8,030"
10002,"< $25,000",20160,12300,4840,2690,4750
10002,"$25,000 - $49,999",8460,4770,2030,1490,1290
10002,"$50,000 - $74,999",5030,3460,710,710,720
10002,"$75,000 -  $99,999",2840,1990,500,280,410
10002,"$100,000 - $199,999",3920,2410,1150,250,610
10002,"$200,000+",1880,840,940,60,250
,,,,,,
10003,total,"28,950","22,020","5,340",870,"5,680"
10003,"< $25,000",4850,4250,270,210,1120
10003,"$25,000 - $49,999",3710,3210,260,140,710
10003,"$50,000 - $74,999",3910,3420,280,110,630
10003,"$75,000 -  $99,999",3270,2790,310,90,630
10003,"$100,000 - $199,999",6430,4940,1170,140,1340
10003,"$200,000+",6780,3410,3050,180,1250
,,,,,,
10004,total,"2,450","1,440",790,140,270
10004,"< $25,000",300,240,** ,30,30
10004,"$25,000 - $49,999",240,200,40,30,40
10004,"$50,000 - $74,999",290,260,20,** ,** 
10004,"$75,000 -  $99,999",210,170,20,** ,20
10004,"$100,000 - $199,999",490,320,120,30,60
10004,"$200,000+",920,250,590,50,120
,,,,,,
10005,total,"5,920","4,360","1,240",150,380
10005,"< $25,000",660,600,30,30,50
10005,"$25,000 - $49,999",680,630,20,** ,** 
10005,"$50,000 - $74,999",800,740,30,30,30
10005,"$75,000 -  $99,999",690,620,50,** ,20
10005,"$100,000 - $199,999",1420,1090,230,40,80
10005,"$200,000+",1670,680,880,50,200
,,,,,,
10006,total,"2,470","1,790",510,90,150
10006,"< $25,000",310,260,20,** ,50
10006,"$25,000 - $49,999",280,240,40,40,** 
