,"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
0,0.0,Total,"9,580,270","4,940,030","2,950,010","1,479,490","2,240,650"
1,0.0,"< $25,000",3350620,2314770,422340,562630,653290
2,0.0,"$25,000 - $49,999",2159110,1191460,437030,481010,428550
3,0.0,"$50,000 - $74,999",1326500,676010,387690,224500,341070
4,0.0,"$75,000 -  $99,999",848060,330830,385280,104460,253910
5,0.0,"$100,000 - $199,999",1312640,329030,861720,93390,397290
6,0.0,"$200,000+",583340,97930,455950,13500,166540
7,,,,,,,
8,10001.0,total,"15,340","11,080","2,700","1,170","2,640"
9,10001.0,"< $25,000",3640,2810,330,410,850
10,10001.0,"$25,000 - $49,999",2540,1900,240,340,400
11,10001.0,"$50,000 - $74,999",2020,1600,190,170,350
12,10001.0,"$75,000 -  $99,999",1480,1180,180,80,290
13,10001.0,"$100,000 - $199,999",2920,2160,580,90,460
14,10001.0,"$200,000+",2740,1430,1180,80,290
15,,,,,,,
16,10002.0,total,"42,290","25,770","10,170","5,480","8,030"
17,10002.0,"< $25,000",20160,12300,4840,2690,4750
18,10002.0,"$25,000 - $49,999",8460,4770,2030,1490,1290
19,10002.0,"$50,000 - $74,999",5030,3460,710,710,720
20,10002.0,"$75,000 -  $99,999",2840,1990,500,280,410
21,10002.0,"$100,000 - $199,999",3920,2410,1150,250,610
22,10002.0,"$200,000+",1880,840,940,60,250
23,,,,,,,
24,10003.0,total,"28,950","22,020","5,340",870,"5,680"
25,10003.0,"< $25,000",4850,4250,270,210,1120
26,10003.0,"$25,000 - $49,999",3710,3210,260,140,710
27,10003.0,"$50,000 - $74,999",3910,3420,280,110,630
28,10003.0,"$75,000 -  $99,999",3270,2790,310,90,630
29,10003.0,"$100,000 - $199,999",6430,4940,1170,140,1340
30,10003.0,"$200,000+",6780,3410,3050,180,1250
31,,,,,,,
32,10004.0,total,"2,450","1,440",790,140,270
33,10004.0,"< $25,000",300,240,** ,30,30
34,10004.0,"$25,000 - $49,999",240,200,40,30,40
35,10004.0,"$50,000 - $74,999",290,260,20,** ,** 
36,10004.0,"$75,000 -  $99,999",210,170,20,** ,20
37,10004.0,"$100,000 - $199,999",490,320,120,30,60
38,10004.0,"$200,000+",920,250,590,50,120
39,,,,,,,
40,10005.0,total,"5,920","4,360","1,240",150,380
41,10005.0,"< $25,000",660,600,30,30,50
42,10005.0,"$25,000 - $49,999",680,630,20,** ,** 
43,10005.0,"$50,000 - $74,999",800,740,30,30,30
