,zipcode,Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+),borough,landuse_1.0,landuse_2.0,landuse_3.0,landuse_4.0,landuse_5.0,landuse_6.0,landuse_7.0,landuse_8.0,landuse_9.0,landuse_10.0,landuse_11.0,total_bldgarea
0,10001.0,total,"15,340","11,080","2,700","1,170","2,640",MN,33606.0,592289.0,10683006.0,13652815.0,55368490.0,745317.0,1180126.0,10895555.0,1152624.0,600098.0,0.0,94903926.0
1,10001.0,"< $25,000",3640,2810,330,410,850,MN,33606.0,592289.0,10683006.0,13652815.0,55368490.0,745317.0,1180126.0,10895555.0,1152624.0,600098.0,0.0,94903926.0
2,10001.0,"$25,000 - $49,999",2540,1900,240,340,400,MN,33606.0,592289.0,10683006.0,13652815.0,55368490.0,745317.0,1180126.0,10895555.0,1152624.0,600098.0,0.0,94903926.0
3,10001.0,"$50,000 - $74,999",2020,1600,190,170,350,MN,33606.0,592289.0,10683006.0,13652815.0,55368490.0,745317.0,1180126.0,10895555.0,1152624.0,600098.0,0.0,94903926.0
4,10001.0,"$75,000 -  $99,999",1480,1180,180,80,290,MN,33606.0,592289.0,10683006.0,13652815.0,55368490.0,745317.0,1180126.0,10895555.0,1152624.0,600098.0,0.0,94903926.0
5,10001.0,"$100,000 - $199,999",2920,2160,580,90,460,MN,33606.0,592289.0,10683006.0,13652815.0,55368490.0,745317.0,1180126.0,10895555.0,1152624.0,600098.0,0.0,94903926.0
6,10001.0,"$200,000+",2740,1430,1180,80,290,MN,33606.0,592289.0,10683006.0,13652815.0,55368490.0,745317.0,1180126.0,10895555.0,1152624.0,600098.0,0.0,94903926.0
7,10002.0,total,"42,290","25,770","10,170","5,480","8,030",MN,51117.0,1938379.0,16618352.0,17112671.0,3326020.0,382610.0,701202.0,4665712.0,104367.0,252263.0,0.0,45152693.0
8,10002.0,"< $25,000",20160,12300,4840,2690,4750,MN,51117.0,1938379.0,16618352.0,17112671.0,3326020.0,382610.0,701202.0,4665712.0,104367.0,252263.0,0.0,45152693.0
9,10002.0,"$25,000 - $49,999",8460,4770,2030,1490,1290,MN,51117.0,1938379.0,16618352.0,17112671.0,3326020.0,382610.0,701202.0,4665712.0,104367.0,252263.0,0.0,45152693.0
